close,high,low,open,timestamp,volume
28840,28873,28839,28867,1682599320,10.52149162
28811,28845,28811,28845,1682599380,1.29081723
28764,28808,28764,28806,1682599440,1.64163848
28755,28817,28755,28776,1682599500,0.83105319
28796,28808,28785,28785,1682599560,0.60210683
28859,28883,28811,28811,1682599620,2.13694108
28881,28881,28862,28863,1682599680,0.67898487
28868,28878,28868,28870,1682599740,15.04524856
28863,28880,28846,28880,1682599800,0.63639533
28875,28880,28842,28845,1682599860,0.34453551
28886,28886,28874,28880,1682599920,0.27306494
28892,28905,28890,28890,1682599980,0.89241943
28864,28900,28854,28899,1682600040,1.65311934
28857,28882,28857,28871,1682600100,0.37290269
28862,28862,28841,28860,1682600160,1.91832203
28889,28901,28874,28874,1682600220,0.11920043
28873,28896,28872,28896,1682600280,0.75085930
28873,28884,28873,28884,1682600340,0.11328999
28905,28905,28882,28882,1682600400,19.27685926
28901,28905,28896,28905,1682600460,1.19453000
28930,28940,28905,28905,1682600520,34.92419012
28931,28940,28926,28940,1682600580,2.04832060
28901,28920,28872,28920,1682600640,2.91840385
28874,28901,28874,28900,1682600700,0.02392500
28875,28887,28875,28879,1682600760,0.29814491
28894,28894,28881,28881,1682600820,0.01143246
28924,28931,28915,28915,1682600880,0.03144795
28942,28942,28921,28922,1682600940,0.70057622
28946,28955,28942,28942,1682601000,3.90254870
28918,28941,28918,28941,1682601060,2.04171303
28921,28921,28918,28918,1682601120,0.35608811
28913,28915,28913,28915,1682601180,0.57651613
28915,28927,28907,28907,1682601240,0.98162706
28942,28947,28929,28929,1682601300,1.82639935
28929,28942,28917,28917,1682601360,0.40489309
28949,28949,28949,28949,1682601420,0.32034465
28945,28949,28943,28943,1682601480,2.57759000
28948,28952,28948,28952,1682601540,0.44373993
28921,28949,28921,28949,1682601600,0.02422905
28920,28932,28920,28922,1682601660,0.31627432
28912,28924,28912,28924,1682601720,0.31157322
28919,28919,28906,28906,1682601780,3.66031421
28915,28915,28915,28915,1682601840,0.54178997
28887,28909,28886,28909,1682601900,4.44230984
28892,28894,28892,28894,1682601960,0.04838256
28927,28940,28907,28907,1682602020,8.54392462
28933,28933,28928,28931,1682602080,0.02191132
28917,28946,28917,28943,1682602140,1.43799980
28890,28910,28884,28900,1682602200,3.79249107
28901,28904,28890,28895,1682602260,3.50456645
28914,28929,28902,28902,1682602320,5.00314141
28874,28899,28874,28899,1682602380,2.18215341
28902,28902,28875,28875,1682602440,7.21307927
28914,28927,28898,28906,1682602500,0.50939764
28928,28938,28915,28923,1682602560,6.97440009
28955,28955,28929,28929,1682602620,0.61976304
28949,28950,28933,28950,1682602680,0.67305774
28933,28937,28929,28929,1682602740,1.01616158
28956,28960,28942,28942,1682602800,0.17646310
28931,28963,28921,28946,1682602860,0.58652529
28871,28936,28871,28928,1682602920,2.63357783
28881,28889,28875,28877,1682602980,0.44243893
28886,28889,28883,28889,1682603040,0.34922013
28868,28881,28866,28881,1682603100,0.25345053
28897,28897,28871,28871,1682603160,0.03716119
