symbol,side,amount,price
BTCUSDT,buy,0.01,272.4687
BTCUSDT,sell,0.01,271.8566
BTCUSDT,buy,0.01,274.0052
BTCUSDT,sell,0.01,274.05680907000004
BTCUSDT,buy,0.01,257.9176
BTCUSDT,sell,0.01,273.66360000000003
BTCUSDT,buy,0.01,224.09801342999998
BTCUSDT,sell,0.01,272.8265
BTCUSDT,buy,0.01,272.82169999999996
BTCUSDT,sell,0.01,271.97740000000005
BTCUSDT,buy,0.01,271.9267
BTCUSDT,sell,0.01,272.221
BTCUSDT,buy,0.01,272.0221
BTCUSDT,sell,0.01,272.3534
BTCUSDT,buy,0.01,271.1533
BTCUSDT,sell,0.01,271.6343
BTCUSDT,buy,0.01,271.2691
BTCUSDT,sell,0.01,270.7603
BTCUSDT,buy,0.01,270.4524
BTCUSDT,sell,0.01,270.47270000000003
BTCUSDT,buy,0.01,267.5935
