symbol,side,amount,price
BTCUSDT,sell,0.01,275.6671
BTCUSDT,buy,0.01,275.8571
BTCUSDT,sell,0.01,276.15145587
BTCUSDT,buy,0.01,275.97328354
BTCUSDT,sell,0.01,276.0827
BTCUSDT,buy,0.01,276.21027114000003
BTCUSDT,sell,0.01,276.3828
BTCUSDT,buy,0.01,276.249
BTCUSDT,sell,0.01,276.28000000000003
BTCUSDT,buy,0.01,276.2393
BTCUSDT,sell,0.01,276.4453
BTCUSDT,buy,0.01,276.37669999999997
BTCUSDT,sell,0.01,276.4012
BTCUSDT,buy,0.01,276.2453
BTCUSDT,sell,0.01,276.3305
BTCUSDT,buy,0.01,276.6492
BTCUSDT,sell,0.01,276.6937
BTCUSDT,buy,0.01,276.5614
BTCUSDT,sell,0.01,276.6229
BTCUSDT,buy,0.01,276.7466
BTCUSDT,sell,0.01,276.8489
BTCUSDT,buy,0.01,276.7466
BTCUSDT,sell,0.01,276.8224
BTCUSDT,buy,0.01,276.5835
BTCUSDT,sell,0.01,276.22610000000003
BTCUSDT,buy,0.01,276.0461
BTCUSDT,sell,0.01,276.1258
BTCUSDT,buy,0.01,276.08712038000004
BTCUSDT,sell,0.01,276.1311768
BTCUSDT,buy,0.01,276.3751
BTCUSDT,sell,0.01,276.2228
BTCUSDT,buy,0.01,277.4582
BTCUSDT,sell,0.01,277.23319999999995
BTCUSDT,buy,0.01,277.4023
BTCUSDT,sell,0.01,277.69419999999997
BTCUSDT,buy,0.01,277.4339
BTCUSDT,sell,0.01,277.5235
BTCUSDT,buy,0.01,278.11990000000003
BTCUSDT,sell,0.01,278.3487
BTCUSDT,buy,0.01,278.3657
BTCUSDT,sell,0.01,278.48375708000003
BTCUSDT,buy,0.01,278.442995
BTCUSDT,sell,0.01,278.1193
BTCUSDT,buy,0.01,278.32099999999997
BTCUSDT,sell,0.01,278.23150000000004
BTCUSDT,buy,0.01,278.11990000000003
BTCUSDT,sell,0.01,275.2486
BTCUSDT,buy,0.01,275.066
BTCUSDT,sell,0.01,275.3255
BTCUSDT,buy,0.01,276.42330000000004
BTCUSDT,sell,0.01,275.38759999999996
BTCUSDT,buy,0.01,275.41132335
BTCUSDT,sell,0.01,275.5482
BTCUSDT,buy,0.01,275.3304
BTCUSDT,sell,0.01,275.5192
BTCUSDT,buy,0.01,275.4967
BTCUSDT,sell,0.01,275.0781
BTCUSDT,buy,0.01,275.9263
BTCUSDT,sell,0.01,275.98520716
BTCUSDT,buy,0.01,275.9378
BTCUSDT,sell,0.01,275.91740000000004
BTCUSDT,buy,0.01,275.8711
BTCUSDT,sell,0.01,275.925
BTCUSDT,buy,0.01,275.79970000000003
BTCUSDT,sell,0.01,275.643
BTCUSDT,buy,0.01,276.02410000000003
BTCUSDT,sell,0.01,275.5427
BTCUSDT,buy,0.01,275.8487
BTCUSDT,sell,0.01,275.8933
BTCUSDT,buy,0.01,275.9286
BTCUSDT,sell,0.01,275.9902
BTCUSDT,buy,0.01,276.0221
BTCUSDT,sell,0.01,275.88439999999997
BTCUSDT,buy,0.01,275.773
BTCUSDT,sell,0.01,275.7101
BTCUSDT,buy,0.01,275.9339
BTCUSDT,sell,0.01,275.53540000000004
BTCUSDT,buy,0.01,275.98083456
BTCUSDT,sell,0.01,276.03970000000004
BTCUSDT,buy,0.01,275.9569
BTCUSDT,sell,0.01,276.133
BTCUSDT,buy,0.01,276.0285
BTCUSDT,sell,0.01,276.13
BTCUSDT,buy,0.01,276.0072
BTCUSDT,sell,0.01,275.89983524
BTCUSDT,buy,0.01,275.791
BTCUSDT,sell,0.01,275.84000000000003
BTCUSDT,buy,0.01,275.767
BTCUSDT,sell,0.01,275.6742
BTCUSDT,buy,0.01,277.0794
BTCUSDT,sell,0.01,277.1355
BTCUSDT,buy,0.01,277.09110000000004
BTCUSDT,sell,0.01,276.961
BTCUSDT,buy,0.01,276.7925
BTCUSDT,sell,0.01,276.9461
BTCUSDT,buy,0.01,277.0133
BTCUSDT,sell,0.01,277.24080000000004
BTCUSDT,buy,0.01,277.03430000000003
BTCUSDT,sell,0.01,277.1264
BTCUSDT,buy,0.01,277.0991
BTCUSDT,sell,0.01,277.0478
BTCUSDT,buy,0.01,276.8668
BTCUSDT,sell,0.01,276.4331
BTCUSDT,buy,0.01,276.2988
BTCUSDT,sell,0.01,276.3341
BTCUSDT,buy,0.01,276.3062
BTCUSDT,sell,0.01,276.30830000000003
BTCUSDT,buy,0.01,276.1776
BTCUSDT,sell,0.01,275.4362
BTCUSDT,buy,0.01,275.31661351
BTCUSDT,sell,0.01,275.3272
BTCUSDT,buy,0.01,275.4005
BTCUSDT,sell,0.01,275.4368
BTCUSDT,buy,0.01,275.4532
BTCUSDT,sell,0.01,275.54990000000004
BTCUSDT,buy,0.01,276.2996
BTCUSDT,sell,0.01,276.13
BTCUSDT,buy,0.01,276.73040000000003
BTCUSDT,sell,0.01,276.47110000000004
BTCUSDT,buy,0.01,276.4053
BTCUSDT,sell,0.01,276.2452
BTCUSDT,buy,0.01,276.17810000000003
BTCUSDT,sell,0.01,276.22650000000004
BTCUSDT,buy,0.01,276.1474
BTCUSDT,sell,0.01,276.28990000000005
BTCUSDT,buy,0.01,276.0913
BTCUSDT,sell,0.01,276.1463
BTCUSDT,buy,0.01,276.3282
BTCUSDT,sell,0.01,276.4999
BTCUSDT,buy,0.01,276.29580000000004
BTCUSDT,sell,0.01,276.3924
BTCUSDT,buy,0.01,276.2471
BTCUSDT,sell,0.01,276.2401
BTCUSDT,buy,0.01,276.3297
BTCUSDT,sell,0.01,276.4909
BTCUSDT,buy,0.01,276.5062
BTCUSDT,sell,0.01,276.6461
BTCUSDT,buy,0.01,276.4773
BTCUSDT,sell,0.01,275.6773
BTCUSDT,buy,0.01,275.4456
BTCUSDT,sell,0.01,275.529
BTCUSDT,buy,0.01,275.1297
BTCUSDT,sell,0.01,274.430173
BTCUSDT,buy,0.01,274.17740000000003
BTCUSDT,sell,0.01,274.2656
BTCUSDT,buy,0.01,274.0501
BTCUSDT,sell,0.01,274.3785
BTCUSDT,buy,0.01,274.6223
BTCUSDT,sell,0.01,274.7411
BTCUSDT,buy,0.01,274.5958
BTCUSDT,sell,0.01,274.3466
BTCUSDT,buy,0.01,276.2549
BTCUSDT,sell,0.01,275.88849999999996
BTCUSDT,buy,0.01,275.9182
BTCUSDT,sell,0.01,276.0545
BTCUSDT,buy,0.01,275.78490000000005
BTCUSDT,sell,0.01,275.4387
BTCUSDT,buy,0.01,275.3901
BTCUSDT,sell,0.01,275.508
BTCUSDT,buy,0.01,275.34713823000004
BTCUSDT,sell,0.01,275.1306
