symbol,side,amount,price
BTCUSDT,buy,0.01,273.23130000000003
BTCUSDT,sell,0.01,273.5736
BTCUSDT,buy,0.01,275.5859
BTCUSDT,sell,0.01,276.075
BTCUSDT,buy,0.01,276.32170551999997
BTCUSDT,sell,0.01,276.4931
BTCUSDT,buy,0.01,276.25419999999997
BTCUSDT,sell,0.01,275.2287
BTCUSDT,buy,0.01,274.9871
BTCUSDT,sell,0.01,275.5346
BTCUSDT,buy,0.01,275.3998
BTCUSDT,sell,0.01,275.7748
BTCUSDT,buy,0.01,279.5654
BTCUSDT,sell,0.01,279.9802
BTCUSDT,buy,0.01,279.7502
BTCUSDT,sell,0.01,280.3016
BTCUSDT,buy,0.01,281.6864
BTCUSDT,sell,0.01,282.03040000000004
BTCUSDT,buy,0.01,282.8953
BTCUSDT,sell,0.01,282.6014
BTCUSDT,buy,0.01,282.46430000000004
BTCUSDT,sell,0.01,282.62644439999997
BTCUSDT,buy,0.01,282.4401
BTCUSDT,sell,0.01,282.54990000000004
BTCUSDT,buy,0.01,282.131
BTCUSDT,sell,0.01,282.2754
BTCUSDT,buy,0.01,282.55150000000003
BTCUSDT,sell,0.01,282.7532
BTCUSDT,buy,0.01,283.2015
