symbol,side,amount,price
BTCUSDT,buy,0.01,281.6659
BTCUSDT,sell,0.01,281.70923476
BTCUSDT,buy,0.01,281.8746
BTCUSDT,sell,0.01,281.8808
BTCUSDT,buy,0.01,281.97880000000004
BTCUSDT,sell,0.01,282.0503
BTCUSDT,buy,0.01,281.94687594
BTCUSDT,sell,0.01,282.0098
BTCUSDT,buy,0.01,282.04330000000004
BTCUSDT,sell,0.01,281.9325
BTCUSDT,buy,0.01,280.7506
BTCUSDT,sell,0.01,280.7764
BTCUSDT,buy,0.01,280.56919999999997
BTCUSDT,sell,0.01,280.966
BTCUSDT,buy,0.01,280.8087
BTCUSDT,sell,0.01,280.5018
BTCUSDT,buy,0.01,280.2525
BTCUSDT,sell,0.01,280.1712
BTCUSDT,buy,0.01,280.0966
BTCUSDT,sell,0.01,280.4346
BTCUSDT,buy,0.01,280.2163
BTCUSDT,sell,0.01,279.4863
BTCUSDT,buy,0.01,279.09560000000005
