close,high,low,open,timestamp,volume,datetime
61346.3,61356.57,61346.3,61356.57,1635724800,13.67464861,2021-11-01 00:00:00
61322.99,61322.99,61315.79,61315.79,1635724860,0.05245020,2021-11-01 00:01:00
61364.51,61364.51,61253.8,61334.71,1635724920,5.41792386,2021-11-01 00:02:00
61288.03,61413.73,61288.03,61413.73,1635724980,0.79947091,2021-11-01 00:03:00
61270.4,61270.4,61181.31,61255.25,1635725040,1.15713289,2021-11-01 00:04:00
61316.72,61316.72,61316.72,61316.72,1635725100,0.00200000,2021-11-01 00:05:00
61399.34,61399.34,61368,61384.96,1635725160,2.95934093,2021-11-01 00:06:00
61415.9,61431.62,61414,61414,1635725220,0.46691972,2021-11-01 00:07:00
61415.9,61415.9,61415.9,61415.9,1635725280,0.00000000,2021-11-01 00:08:00
61444.77,61444.77,61416.25,61416.25,1635725340,0.14580000,2021-11-01 00:09:00
61480.18,61502.86,61473.06,61484,1635725400,0.15093981,2021-11-01 00:10:00
61418.29,61418.29,61418.29,61418.29,1635725460,0.01600000,2021-11-01 00:11:00
61487.79,61506.62,61484.65,61484.65,1635725520,1.28495779,2021-11-01 00:12:00
61513.1,61513.1,61496.97,61496.97,1635725580,0.46944692,2021-11-01 00:13:00
61573.53,61576.06,61529.23,61529.23,1635725640,0.92394691,2021-11-01 00:14:00
61560.47,61591.81,61551.09,61565.47,1635725700,0.95707373,2021-11-01 00:15:00
61623.14,61623.14,61537.27,61537.27,1635725760,0.71860726,2021-11-01 00:16:00
61606.2,61623.14,61606.2,61623.14,1635725820,0.33376942,2021-11-01 00:17:00
61623.14,61623.14,61591.83,61600,1635725880,2.47141485,2021-11-01 00:18:00
61700,61700,61612.86,61612.86,1635725940,6.68847504,2021-11-01 00:19:00
61596.96,61700.04,61579.5,61699.38,1635726000,5.78177956,2021-11-01 00:20:00
61626.44,61628.82,61613.51,61613.51,1635726060,0.14038671,2021-11-01 00:21:00
61548.65,61633.21,61540.51,61633.21,1635726120,1.49087161,2021-11-01 00:22:00
61561.7,61561.7,61559.85,61559.85,1635726180,1.58822704,2021-11-01 00:23:00
61522.18,61576.09,61522.18,61576.09,1635726240,1.29143209,2021-11-01 00:24:00
61611.18,61611.18,61555.31,61555.31,1635726300,0.23860874,2021-11-01 00:25:00
61590.32,61618.96,61590.32,61618.96,1635726360,0.30435907,2021-11-01 00:26:00
61597.91,61612.68,61597.91,61612.68,1635726420,0.22723585,2021-11-01 00:27:00
61598.12,61598.12,61598.12,61598.12,1635726480,0.05420812,2021-11-01 00:28:00
61578.09,61578.09,61569.29,61569.29,1635726540,0.08691851,2021-11-01 00:29:00
61609.34,61645.27,61609.34,61635.58,1635726600,3.08469040,2021-11-01 00:30:00
61609.34,61609.34,61609.34,61609.34,1635726660,0.00000000,2021-11-01 00:31:00
61547.31,61571.09,61547.31,61571.09,1635726720,0.11049000,2021-11-01 00:32:00
61547.19,61547.19,61547.19,61547.19,1635726780,0.04800000,2021-11-01 00:33:00
61505.18,61505.18,61478.42,61478.42,1635726840,0.08476596,2021-11-01 00:34:00
61516.63,61516.63,61510.68,61510.68,1635726900,0.08379546,2021-11-01 00:35:00
61525.83,61525.83,61525.83,61525.83,1635726960,0.00149790,2021-11-01 00:36:00
61495.35,61499.05,61495.35,61499.05,1635727020,0.10787058,2021-11-01 00:37:00
61519.38,61535.52,61519.38,61532.21,1635727080,2.61684978,2021-11-01 00:38:00
61556.43,61561.99,61542.58,61561.99,1635727140,0.01537299,2021-11-01 00:39:00
61488.03,61546.57,61488.03,61546.57,1635727200,0.52953121,2021-11-01 00:40:00
61486.88,61486.88,61441.47,61475,1635727260,0.37982814,2021-11-01 00:41:00
